years,a,b
1993,2.336282306554676,204.31371686997366
1993,5.437357377851232,167.4848335562401
1993,6.8576294662967365,212.9331873495019
1993,5.697399495416704,196.96372764251927
1993,2.779694977890253,193.0800283159238
1993,3.235332428104579,163.7523193082508
1993,5.585768897464224,233.92936066015508
1993,3.015912593052202,183.32331793439255
1993,4.603390525128871,182.03954402796285
1993,7.5617242545524075,204.95815168096547
1993,2.153786837171566,205.29145430979597
1993,5.895528523176518,193.50651255842087
1993,2.9699419265963254,188.6404907783349
1993,3.4567544664311445,173.42816286423877
1993,5.506144260819696,190.12129644012228
1993,7.892119230993332,211.7308011251296
1993,8.376759401548437,169.1970870210238
1993,9.925154178655834,201.67041002809881
1993,5.475049893962242,200.10992003015153
1993,2.4751458089735454,207.8151456449667
1993,8.992505717612488,207.84879644501623
1993,5.476173396469407,198.33858870897367
1993,11.936659794335384,175.07699374964574
1993,2.8579959941145407,203.59320207079196
1993,8.414609419593386,202.42289419937381
1993,9.025236897405636,200.99374624712092
1993,7.61609869365444,183.75203938248893
1993,2.935070723010777,216.1141555372841
1993,-1.9358850534052578,212.69863127787661
1993,9.464430247272077,243.65650391765377
1993,4.238496100268266,216.53730742306075
1993,5.98711115962447,189.81046409206414
1993,5.006231718645152,204.20747787340775
1993,7.776203210749544,169.99317987399624
1993,4.048809199710329,217.5823408391558
1993,8.513460218129758,222.06405957500942
1993,5.423696764594525,177.01015326375907
1993,4.358850457370309,187.80605713260584
1993,5.115131826344926,198.04406582592188
1993,3.2190269222230006,204.2803911814362
1993,3.9608743551295964,200.94857918936106
1993,6.338676991922559,205.37246248825238
1993,2.5574820481214275,196.2367352144686
1993,6.436831545924614,225.16901891811838
1993,9.435591034260774,194.17082987879556
1993,4.174113653000186,192.96976601671935
1993,1.7579051946488127,224.74998656616006
1993,3.3310859286120373,232.6224038726955
1993,4.568058085036855,209.8592235328095
1993,0.25992553182416067,209.2095456464018
1993,7.874061940529578,180.22313467699408
1993,3.017075140657079,217.60768749506997
1993,3.325025254887517,196.67538558336906
1993,-1.366741853537226,197.14729046708675
1993,6.7965488521220285,192.83060843066391
1993,7.18934601964583,181.9962056155913
1993,6.411239081279541,207.54041902423938
1993,1.8011741262101295,163.97392624345892
1993,1.6606505928473752,210.7298043190056
1993,6.10843348480781,194.76391064380113
1993,1.20914043359261,204.8189494051278
1993,3.6224876051338817,197.05352133524408
1993,2.976505046742432,174.65084821112333
1993,8.549951847264712,201.77282658931887
1993,4.033457717482387,201.71109034556903
1993,7.685653636220922,197.43034903270146
1993,9.66244572168352,194.54959271112148
1993,8.306993036930077,201.6131984519782
1993,0.40257763477327924,228.2011042019597
1993,4.315068232322412,204.73641210952994
1993,3.8171975795264963,210.06092369143147
1993,-0.4582979989640794,210.126483797841
1993,6.768400559380758,191.06268931817596
1993,8.035136806131588,199.6073071751139
1993,7.533396091749151,198.44088907434408
1993,2.515979441784723,194.79694740664655
1993,5.174246746377177,219.6535678096577
1993,4.546571262821582,189.9798167603868
1993,6.0865091713284585,213.06212503988976
1993,4.559190489456465,190.86392600812437
1993,7.484710687960964,192.18332481057683
1993,6.32529360547994,170.78998641395975
1993,2.584769353342005,210.99700280050146
1993,3.2936700034395283,220.8465216135064
1993,4.89518470830349,199.46170592377965
1993,3.8273238882181797,188.45878256341928
1993,2.7080967026846507,206.38354230636136
1993,7.1583300610263105,192.6798759283915
1993,4.886061463246955,189.80424546667322
1993,7.599440443355098,180.47405610106543
1993,8.240194992827416,199.7288584726232
1993,0.40416900703417546,201.9641683276976
1993,7.857401025891509,183.53421605306417
1993,8.520543211122817,205.00480661193788
1993,4.092544657285118,194.06074979552338
1993,3.8589599832085915,206.1248818856527
1993,1.5406461978854722,215.09004853178598
1993,5.719259444396345,188.25914912882197
1993,4.648864139009087,179.74526010449415
1993,6.876072003307597,220.81512379963885
1993,4.652184564256326,211.1559224363649
1993,4.931016272410762,178.15209671545054
1993,1.4526675631667612,202.61499767808405
1993,3.8080150323511126,205.69051137605857
1993,5.012637340792563,202.234278143544
1993,5.952713785990451,192.90327687083123
1993,5.8894400745685065,199.46697824018457
1993,3.6734235437036675,203.04507709521886
1993,4.920844363296285,194.57157275644664
1993,6.638440087979155,219.36812631109962
1993,2.713830573838921,194.39463268152966
1993,6.355121962043649,202.73245226461958
1993,-0.017653890094352143,182.78750112707243
1993,1.7074526512990884,170.55168367544258
1993,10.804018635370266,200.45428643554416
1993,-0.9880039843066708,197.0001772943828
1993,9.267553123370144,214.38914586924574
1993,1.7276869117185307,185.59379652425554
1993,3.987052052792274,199.7701493544631
1993,3.675243068900227,197.57677016203309
1993,6.318281668767517,187.47635765886074
1993,6.9271658685337645,194.60150636521138
1993,4.633273744288051,206.72325688110655
1993,5.090314986022771,206.59832835314953
1993,6.3669923172738105,171.73612050300449
1993,5.878686651925312,176.7262963197691
1993,5.221538845147666,214.39183687450128
1993,3.8113603620316585,198.62476979067807
1993,2.2269754951839578,206.39816231859075
1993,-0.05196792112059079,203.88872130785575
1993,3.8018095354324277,190.83312006581488
1993,5.007365719610661,202.3717119967899
1993,2.3066599881405696,225.37584838262578
1993,0.3177996008698045,177.36132367678493
1993,4.653987551404492,162.4740380470757
1993,11.096531295029791,214.82495250151655
1993,5.74678948955397,212.60730712168638
1993,0.5875848589831358,216.63216434563154
1993,7.421363652253881,195.572165188194
1993,3.720458130042566,219.23075904768322
1993,3.0115851198687182,213.43223939028442
1993,3.530243436336523,202.10795672171437
1993,0.8639822532475536,203.00437905989713
1993,6.2751169936595526,195.21103109883427
1993,3.1173003260685914,208.1765499437622
1993,3.97992221612593,211.24304837016035
1993,5.02091877432683,208.30134290117624
1993,-2.3675966935297215,212.05734257732004
1993,6.485487935829365,210.91560403052299
1993,4.5471134595839535,193.91792311836278
1993,6.918910748529431,224.6216222192827
1993,4.547695075309279,207.79929181474452
1993,5.811471217350158,177.56453311423616
1993,7.615122940144926,206.69259269049667
1993,5.071584952064958,210.30458250184785
1993,7.62090613156456,186.64923281102256
1993,6.887132092246256,194.62139833802684
1993,5.787690856399159,204.48497023601462
1993,6.306066916585422,192.30441791583812
1993,3.6536519279736517,211.0949085646438
1993,6.358985559803816,211.29078301661846
1993,3.066495948358545,187.43713386132166
1993,9.815274069338301,178.87952766008365
1993,-1.8603597553982496,188.52382179692933
1993,4.327121039179691,191.4395483057719
1993,6.216551433644149,190.1891090683668
1993,3.446461096475636,198.0345015996879
1993,8.821897393002997,193.4698565997164
1993,5.512430289196999,202.3898699198761
1993,8.378870743475286,184.30473981209852
1993,1.602197613756113,200.12572315469643
1993,2.4678588658375955,213.61166807695815
1993,1.9692199405008188,194.8757559415459
1993,8.348574384343744,209.9474571694066
1993,8.725043963319816,177.7226149726441
1993,6.289906810719823,217.85688361073596
1993,4.333435047448858,188.4184666240028
1993,6.89915169395721,241.98874109416445
1993,4.394878420595505,207.88924345318236
1993,3.3622952053118484,207.6846441765038
1993,6.376265711787358,209.9056113620818
1993,4.837050505712241,193.5067633405117
1993,6.717991051152249,198.94364997414763
1993,5.849221039781234,164.55361871640943
1993,3.143934321107909,206.88921454665552
1993,7.68774744808195,197.11748144556202
1993,7.339744192221755,202.3409056203813
1993,4.794260778752931,202.63825426851048
1993,7.8235410656715665,179.33561984749628
1993,2.68759324982926,190.85902400702975
1993,1.3444405722695163,179.01705909627682
1993,6.544566282573503,200.5078515417045
1993,4.15372308551277,194.21697754915294
1993,3.833983032917,200.00154651379836
1993,4.397812667036403,189.12183292264817
1993,2.620280163556652,189.04545566897193
1993,3.27785335184132,200.3458143959685
1993,3.130034560495889,187.25109403864226
1993,0.9608227798284599,197.88465812801354
1993,7.755651045477568,198.2568752784352
